phone,jdmall_user_p0066,jdmall_user_p0001,jdmall_user_p0006,jdmall_user_p0068,jdmall_up_m0001,jdmall_up_m0009,pay_pay_p0004176,catenum,catenum_3m,f1,f2,f3,bad
0002a50c15cb5266b83f78408f85c75b,1,105,1,1,0,0,0,0,13,a3,b6,c7,0
00043d4e383630c0e4acf4fd16eefdca,1,61,1,7,4,4,0,0,0,a1,b1,c1,0
0004da93afd8ef34b918fb1908be6db7,0,56,1,0,4,4,0,0,0,a1,b1,c1,1
0005c2454279f5dd83389de020c8c62a,0,56,22,0,5,4,0,0,0,a1,b1,c1,0
000d99cdf30f92742f58f5ea1229d100,1,56,18,1,0,0,0,0,0,a1,b1,c1,0
000edb61efa6bcbfc5bd15eb213a61a4,1,61,1,3,6,3,0,0,0,a1,b1,c1,0
00183845320be73a9cc7d83e76c34157,1,50,1,3,0,4,1,0,0,a1,b1,c1,1
001b249d99820311cb07e36bb6540867,1,61,1,3,6,4,0,0,0,a2,b2,c2,0
001c0c890828ac3e14fa66e7bcf2dbf9,1,62,1,3,6,4,0,0,0,a1,b1,c1,0
001d3e7ae1a925f88cc0a450041a213f,0,61,1,0,6,4,0,0,0,a3,b3,c3,0
001f0b2b1fb595f7d4ce77693b388554,1,61,24,1,5,2,0,0,0,a1,b1,c1,0
00203889564dbda60201e100575d1fff,1,50,1,3,5,4,0,3,3,a1,b4,c4,0
0020fac78cdc38a597dbe6c3ea1ba773,1,56,1,3,4,2,0,0,2,a1,b1,c1,0
00241982a7d2d54b7f6d9d6090d0de00,1,56,1,3,6,4,1,0,0,a1,b5,c5,0
00246f5e8d94ab76c2744d86eac6f046,1,62,1,1,6,3,0,0,0,a2,b2,c2,0
002ad8edf394da7635f3b52e3ee60c27,1,61,1,3,3,3,0,0,0,a1,b6,c6,0
002bb441472073b2fe8ba89af1eb764e,1,62,1,1,6,1,0,9,11,a1,b1,c1,0
002f7fdc7d1a8f73036fe393927cb4c0,1,61,19,1,0,0,0,0,0,a1,b1,c7,0
00305d3ecde0230351d8311ca71371c1,1,105,18,1,0,0,1,3,3,a3,b3,c3,0
0035b97cca581dd7934bea1a1e27321a,1,56,18,3,0,0,0,0,0,a1,b1,c1,0
003620ac66daa169e060ab82590b1e16,0,61,18,0,0,0,0,0,0,a1,b1,c1,0
